aa	aa	2019-10-14	-2014
		2019-10-14	-2014
		2019-10-14	-2014
a	a	2019-10-15	-2013
aa	aa	2019-10-15	-2013
aa	aa	2019-10-15	-2013
		2019-10-15	-2013
		2019-10-15	-2013
aa	aa	2019-10-15	-2013
aa	aa	2019-10-15	-2013
		2019-10-15	-2013
a	a	2019-10-15	-2013
aa	aa	2019-10-15	-2013
aa	aa	2019-10-15	-2013
		2019-10-15	-2013
		2019-10-15	0.0007429420505200594
a	a	2019-10-15	-2013
		2019-10-15	-2013
		2019-10-15	-2013
		2019-10-15	-2013
prathamesh	prathamesjh	2019-10-15	-2013
a	a	2019-10-15	-2013
aa	a	2019-10-15	1.5004952947003467
qwe	ert	2019-10-15	1.5004952947003467
		2019-10-15	PY_VAR7
m	m	2019-10-15	PY_VAR7
Sanket sutar	A101	2019-10-15	PY_VAR7
Nikhil Wagh	a104	2019-10-16	PY_VAR7
		2019-10-16	PY_VAR7
		2019-10-16	PY_VAR7
ewr		2019-10-16	PY_VAR7
te		2019-10-16	PY_VAR7
asdf		2019-10-16	PY_VAR7
asd		2019-10-16	PY_VAR7
asd		2019-10-16	PY_VAR7
aa		2019-10-16	PY_VAR7
asas		2019-10-16	PY_VAR7
a		2019-10-16	PY_VAR7
as		2019-10-16	PY_VAR7
a	2	2019-10-16	PY_VAR6
a	2	2019-10-16	PY_VAR6
qw	2	2019-10-16	PY_VAR6
qwe	2	2019-10-16	PY_VAR6
Prathamesh Chaudhari	2	2019-10-16	PY_VAR6
	2	PY_VAR12	PY_VAR4
aasd	2	PY_VAR12	PY_VAR4
	2	PY_VAR12	PY_VAR4
	2	PY_VAR12	PY_VAR4
	2	PY_VAR12	PY_VAR4
	2	PY_VAR12	PY_VAR4
Sanket Sutar	2	2019-10-17	PY_VAR6
asd	2	2019-10-17	PY_VAR6
Dhanesh Chaudhari	2	2019-10-17	PY_VAR6
	2	PY_VAR17	PY_VAR9
Jayesh Chaudhari	2	2019-10-17	PY_VAR6
	2	PY_VAR12	PY_VAR4
	2	PY_VAR12	PY_VAR4
	2	2019-10-18	PY_VAR6
	2	2019-10-18	PY_VAR6
	2	2019-10-18	PY_VAR6
sanket	2	2019-10-18	PY_VAR6
	2	PY_VAR12	PY_VAR4
